TypeDescription,Score,Grade,Latitude,Longitude
FOOD SERVICE,97,A,38.2507,-85.6353
FOOD SERVICE,,,38.1755,-85.7131
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,,38.1556,-85.8014
"RETAIL-FOOD  10,000 SQ FT OR LESS",97,A,38.1172,-85.8442
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,,38.1172,-85.8442
FOOD SERVICE,,,38.2604,-85.6872
FOOD SERVICE,97,A,38.16011,-85.76407
FOOD SERVICE,99,A,38.1702,-85.7639
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.2515,-85.781
FOOD SERVICE,95,A,38.2437,0
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,A,38.2203,-85.6356
FOOD SERVICE,100,A,38.1652,-85.798
FOOD SERVICE,100,A,38.3076,-85.5763
FOOD SERVICE,100,A,38.3063,-85.5778
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,A,38.2003,-85.7518
FOOD SERVICE,100,A,38.2471,-85.6237
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,A,38.2479,-85.6234
FOOD SERVICE,,,38.2934,-85.5581
FOOD SERVICE,100,A,38.6653,-85.8734
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,A,38.2479,-85.6234
STATIONARY RESTRICTED CONCESSON,100,,0,0
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.2417,-85.7469
FOOD SERVICE,,,38.2392,-85.7219
"RETAIL-FOOD  10,001 SQ FT OR OVER",,,38.1605,-85.8985
FOOD SERVICE,,,38.2565,-85.6499
FOOD SERVICE,,,38.2471,-85.6237
FOOD SERVICE,,,38.1703,-85.687
FOOD SERVICE,100,A,38.2575,-85.7621
FOOD SERVICE,98,A,38.1943,-85.566
SCHOOL CAFETERIA OR FOOD SERVICE,,,38.2864,-85.5726
FOOD SERVICE,95,,38.2207,-85.7615
"RETAIL-FOOD  10,000 SQ FT OR LESS",94,,38.1776,-85.6239
FOOD SERVICE,100,A,38.2558,-85.7518
FOOD SERVICE,95,A,38.1269,-85.8513
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,,38.2188,-85.6283
FOOD SERVICE,,,38.3076,-84.5773
PRE-PACKAGED RETAIL,,,38.2141,-85.743
FOOD SERVICE,,,38.2811,-85.6349
FOOD SERVICE,99,A,38.1092,-85.865
FOOD SERVICE,94,A,38.2127,-85.7206
SCHOOL CAFETERIA OR FOOD SERVICE,97,A,38.2495,-85.6768
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.2543,-85.7659
"RETAIL-FOOD  10,000 SQ FT OR LESS",94,,38.1782,-85.8194
FOOD SERVICE,97,A,38.2253,-85.5885
FOOD SERVICE,100,A,38.2544,-85.7079
PRE-PACKAGED RETAIL,100,,38.1606,-85.8344
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.2477,-85.7708
FOOD SERVICE,99,A,38.2084,-85.7513
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,,38.193,-85.7513
"RETAIL-FOOD  10,000 SQ FT OR LESS",92,A,38.932,-85.6703
FOOD SERVICE,100,A,38.2262,-85.6906
FOOD SERVICE,97,A,38.2378,-85.5756
STATIONARY RESTRICTED CONCESSON,100,,38.1945,-85.393
FOOD SERVICE,98,A,38.1778,-85.6216
FOOD SERVICE,98,A,38.3448,-85.6035
PRE-PACKAGED RETAIL,,,38.3136,-85.5672
FOOD SERVICE,100,A,38.2562,-85.7496
FOOD SERVICE,,,38.3229,-85.5655
FOOD SERVICE,,,38.2043,-85.557
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,A,38.2549,-85.6543
"RETAIL-FOOD  10,000 SQ FT OR LESS",99,,38.1874,-85.7831
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,,38.1784,-85.6601
FOOD SERVICE,95,,38.1086,-85.864
FOOD SERVICE,,,38.2553,-85.7574
STATIONARY RESTRICTED CONCESSON,100,,38.2863,-85.5582
FOOD SERVICE,100,,38.2044,-85.5411
FOOD SERVICE,100,,38.1372,-85.6826
FOOD SERVICE,99,A,38.2436,-85.5777
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,A,38.2565,-85.7595
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,A,38.2165,-85.6757
"RETAIL-FOOD  10,000 SQ FT OR LESS",88,,38.2165,-85.6757
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,99,A,38.1496,-85.695
FOOD SERVICE,99,A,38.1496,-85.695
FOOD SERVICE,96,A,38.1722,-85.6275
FOOD SERVICE,98,A,38.3113,-85.5717
FOOD SERVICE,100,A,38.2731,-85.8006
FOOD SERVICE,99,A,38.2264,-85.7306
FOOD SERVICE,,,38.2537,-85.7013
FOOD SERVICE,,,38.2604,-85.6872
PRE-PACKAGED RETAIL,100,,38.3277,-85.6637
FOOD SERVICE,98,A,38.252,-85.6609
FOOD SERVICE,100,,38.2794,-85.6772
FOOD SERVICE,,,38.2249,-85.7383
FOOD SERVICE,97,A,38.2503,-85.6294
FOOD SERVICE,84,C,38.2176,-85.7077
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.2801,-85.5884
FOOD SERVICE,97,A,38.2881,-85.5791
FOOD SERVICE,98,A,38.1422,-85.6691
"RETAIL-FOOD  10,001 SQ FT OR OVER",96,A,38.1399,-85.6796
"RETAIL-FOOD  10,001 SQ FT OR OVER",95,,38.1399,-85.6796
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,,0,0
SCHOOL CAFETERIA OR FOOD SERVICE,99,A,38.1978,-85.6339
"RETAIL-FOOD  10,000 SQ FT OR LESS",95,A,38.1924,-85.6464
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,,38.1924,-85.6464
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,A,38.2478,-85.7581
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,,38.2519,-85.6576
FOOD SERVICE,100,A,38.2582,-85.7043
FOOD SERVICE,100,A,38.2196,-85.6271
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,A,38.1041,-85.7585
PRE-PACKAGED RETAIL,100,,38.1558,-85.8687
FOOD SERVICE,98,A,38.2302,-85.639
FOOD SERVICE,95,A,38.1987,-85.6638
SCHOOL CAFETERIA OR FOOD SERVICE,,,38.223,-85.7448
SCHOOL CAFETERIA OR FOOD SERVICE,,,38.223,-85.7448
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,,38.2204,-85.8104
FOOD SERVICE,98,A,38.143,-85.6242
FOOD SERVICE,99,,38.1405,-85.6696
SCHOOL CAFETERIA OR FOOD SERVICE,96,A,38.2533,-85.6513
FOOD SERVICE,100,A,38.2885,-85.5743
"RETAIL-FOOD  10,001 SQ FT OR OVER",99,,38.2885,-85.5743
FOOD SERVICE COMMISSARY,99,A,38.2357,-85.7392
FOOD SERVICE,93,A,38.2403,-85.724
FOOD SERVICE,96,A,38.142,-85.431
"RETAIL-FOOD  10,000 SQ FT OR LESS",,,38.1024,-85.8691
FOOD SERVICE,98,A,38.2917,-85.5832
FOOD SERVICE,100,A,38.2657,-85.541
PRE-PACKAGED RETAIL,99,,38.1301,-85.873
FOOD SERVICE,100,A,38.2242,-85.6941
PRE-PACKAGED RETAIL,,,38.2621,-85.8137
FOOD SERVICE,98,A,38.2537,-85.7573
PRE-PACKAGED RETAIL,,,38.2491,-85.7947
FOOD SERVICE,,,38.323,-85.5658
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,,,38.1802,-85.6271
FOOD SERVICE,,,38.2119,0
FOOD SERVICE,,,38.1813,-85.816
FOOD SERVICE,,,38.2074,-85.6676
FOOD SERVICE,100,A,38.1215,-85.856
FOOD SERVICE,95,,0,0
FOOD SERVICE,95,,38.1283,-85.8499
FOOD SERVICE,95,A,38.1283,-85.8499
FOOD SERVICE,100,,38.1386,-85.6808
FOOD SERVICE,100,A,38.1386,-85.6808
FOOD SERVICE,100,A,38.2557,-85.7456
FOOD SERVICE,100,A,38.2555,-85.7458
FOOD SERVICE,100,A,38.2557,-85.7456
"RETAIL-FOOD  10,001 SQ FT OR OVER",100,,38.1944,-85.7645
FOOD SERVICE,99,A,38.2166,-85.538
FOOD SERVICE,98,A,38.2136,-85.5386
FOOD SERVICE,100,A,38.2785,-85.6381
FOOD SERVICE,97,A,38.2879,-85.5773
