DataExtractDate,ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
10/15/2015 08:00:09 AM,2015/08/01,Tom Bradley International Terminal,Arrival,International,3556134
11/15/2015 08:00:08 AM,2015/09/01,Terminal 4,Arrival,Domestic,3011777
11/15/2015 08:00:08 AM,2015/09/01,Terminal 8,Departure,International,3015293
12/15/2015 08:00:12 AM,2015/10/01,Terminal 5,Departure,Domestic,3204316
12/15/2015 08:00:12 AM,2015/10/01,Terminal 2,Arrival,International,3170736
01/15/2016 08:00:08 AM,2015/11/01,Terminal 5,Arrival,Domestic,2999841
01/15/2016 08:00:08 AM,2015/11/01,Terminal 8,Departure,International,3017148
02/15/2016 08:00:12 AM,2015/12/01,Misc. Terminal,Arrival,Domestic,3196646
02/15/2016 08:00:12 AM,2015/12/01,Terminal 5,Departure,Domestic,3198320
03/15/2016 08:01:13 AM,2016/01/01,Terminal 8,Departure,International,3009235
03/15/2016 08:01:13 AM,2016/01/01,Terminal 5,Arrival,International,3059474
04/15/2016 08:00:57 AM,2016/02/01,Terminal 7,Departure,International,2744974
04/15/2016 08:00:57 AM,2016/02/01,Terminal 5,Arrival,Domestic,2721869
05/15/2016 08:00:52 AM,2016/03/01,Terminal 7,Arrival,Domestic,3202500
05/15/2016 08:00:52 AM,2016/03/01,Misc. Terminal,Departure,International,3273774
06/15/2016 08:00:42 AM,2016/04/01,Terminal 4,Departure,International,3134652
06/15/2016 08:00:42 AM,2016/04/01,Terminal 6,Arrival,International,3171113
07/15/2016 08:00:28 AM,2016/05/01,Terminal 8,Departure,Domestic,3405039
07/15/2016 08:00:28 AM,2016/05/01,Terminal 5,Arrival,International,3378962
08/15/2016 08:00:42 AM,2016/06/01,Tom Bradley International Terminal,Arrival,Domestic,3697029
08/15/2016 08:00:42 AM,2016/06/01,Terminal 8,Departure,International,3792649
09/15/2016 08:00:58 AM,2016/07/01,Terminal 6,Departure,Domestic,3903856
09/15/2016 08:00:58 AM,2016/07/01,Terminal 4,Arrival,International,3985539
10/15/2016 08:00:31 AM,2016/08/01,Terminal 8,Departure,International,3783538
10/15/2016 08:00:31 AM,2016/08/01,Misc. Terminal,Arrival,International,3811472
11/15/2016 08:00:32 AM,2016/09/01,Tom Bradley International Terminal,Departure,Domestic,3309117
11/15/2016 08:00:32 AM,2016/09/01,Terminal 3,Arrival,Domestic,3293999
12/15/2016 08:00:29 AM,2016/10/01,Terminal 4,Arrival,International,3406242
12/15/2016 08:00:29 AM,2016/10/01,Terminal 4,Departure,Domestic,3458996
